,chi3 effective,freq (Hartree),freq (nm),gamma effective
0,6.664731548317035e-21,0.006,7593.892087891579,6302.007403333329
1,6.6550846184156785e-21,0.009000000000000001,5062.594725261051,6289.014583333334
2,3.830874634941053e-20,0.012,3796.9460439457894,36170.32154333333
3,2.2170209460352865e-20,0.015,3037.556835156631,20909.410930000002
4,5.403582017441181e-20,0.018000000000000002,2531.2973626305256,50893.56416333333
5,5.519262423312998e-20,0.021,2169.6834536833085,51899.366903333335
6,5.686429164685791e-20,0.024,1898.4730219728947,53371.62305666668
7,5.916476989621027e-20,0.027,1687.5315750870177,55413.106739999996
8,4.845965157022002e-20,0.033,1380.7076523439232,45159.36742333333
9,5.131152653334829e-20,0.036000000000000004,1265.6486813152628,47678.12001
10,5.474981356325245e-20,0.039,1168.2910904448581,50711.45281333332
11,6.13673470080601e-20,0.03,1518.7784175783156,57339.34699333333
12,5.892653689112998e-20,0.042,1084.8417268416542,54391.87577666667
13,6.406922373650848e-20,0.045,1012.5189450522105,58918.32497
14,7.050656051778257e-20,0.048,949.2365109864473,64577.86181999999
15,9.88807227250512e-20,0.051000000000000004,893.3990691637152,90176.06279333335
16,1.1095863760008791e-19,0.054,843.7657875435088,100724.47677333333
17,1.2781532924471998e-19,0.057,799.357061883324,115455.80751666668
18,1.5415582888837008e-19,0.06,759.3892087891578,138519.72255
19,1.1784765230596744e-20,0.0,0.0,47553.08776
